Date,Origin,Destination,Round Trip,Price 
2022-01-05,Los Angeles Airport (LAX),Toronto Pearson Airport (YYZ),Yes,651
2022-01-05,Los Angeles Airport (LAX),San Francisco Airport (SFO),Yes,583
2022-01-05,Los Angeles Airport (LAX),LaGuardia Airport (LGA),Yes,481
2022-01-05,Los Angeles Airport (LAX),Vancouver Airport (YVR),Yes,728
2022-01-05,Vancouver Airport (YVR),Toronto Pearson Airport (YYZ),Yes,617
2022-01-05,Vancouver Airport (YVR),San Francisco Airport (SFO),Yes,962
2022-01-05,Vancouver Airport (YVR),LaGuardia Airport (LGA),Yes,956
2022-01-05,Vancouver Airport (YVR),Los Angeles Airport (LAX),Yes,791
2022-01-06,Toronto Pearson Airport (YYZ),San Francisco Airport (SFO),Yes,523
2022-01-06,Toronto Pearson Airport (YYZ),LaGuardia Airport (LGA),Yes,356
2022-01-06,Toronto Pearson Airport (YYZ),Los Angeles Airport (LAX),Yes,722
2022-01-06,Toronto Pearson Airport (YYZ),Vancouver Airport (YVR),Yes,679
2022-01-06,San Francisco Airport (SFO),Toronto Pearson Airport (YYZ),Yes,701
2022-01-06,San Francisco Airport (SFO),LaGuardia Airport (LGA),Yes,548
2022-01-06,San Francisco Airport (SFO),Los Angeles Airport (LAX),Yes,427
2022-01-06,San Francisco Airport (SFO),Vancouver Airport (YVR),Yes,390
2022-01-06,LaGuardia Airport (LGA),Toronto Pearson Airport (YYZ),Yes,486
2022-01-06,LaGuardia Airport (LGA),San Francisco Airport (SFO),Yes,404
2022-01-06,LaGuardia Airport (LGA),Los Angeles Airport (LAX),Yes,641
2022-01-06,LaGuardia Airport (LGA),Vancouver Airport (YVR),Yes,460
2022-01-06,Los Angeles Airport (LAX),Toronto Pearson Airport (YYZ),Yes,884
2022-01-06,Los Angeles Airport (LAX),San Francisco Airport (SFO),Yes,550
2022-01-06,Los Angeles Airport (LAX),LaGuardia Airport (LGA),Yes,413
2022-01-06,Los Angeles Airport (LAX),Vancouver Airport (YVR),Yes,815
2022-01-06,Vancouver Airport (YVR),Toronto Pearson Airport (YYZ),Yes,594
2022-01-06,Vancouver Airport (YVR),San Francisco Airport (SFO),Yes,948
2022-01-06,Vancouver Airport (YVR),LaGuardia Airport (LGA),Yes,596
2022-01-06,Vancouver Airport (YVR),Los Angeles Airport (LAX),Yes,829
2022-01-07,Toronto Pearson Airport (YYZ),San Francisco Airport (SFO),Yes,770
2022-01-07,Toronto Pearson Airport (YYZ),LaGuardia Airport (LGA),Yes,423
2022-01-07,Toronto Pearson Airport (YYZ),Los Angeles Airport (LAX),Yes,563
2022-01-07,Toronto Pearson Airport (YYZ),Vancouver Airport (YVR),Yes,562
2022-01-07,San Francisco Airport (SFO),Toronto Pearson Airport (YYZ),Yes,593
2022-01-07,San Francisco Airport (SFO),LaGuardia Airport (LGA),Yes,661
2022-01-07,San Francisco Airport (SFO),Los Angeles Airport (LAX),Yes,346
2022-01-07,San Francisco Airport (SFO),Vancouver Airport (YVR),Yes,555
2022-01-07,LaGuardia Airport (LGA),Toronto Pearson Airport (YYZ),Yes,312
2022-01-07,LaGuardia Airport (LGA),San Francisco Airport (SFO),Yes,568
2022-01-07,LaGuardia Airport (LGA),Los Angeles Airport (LAX),Yes,636
2022-01-07,LaGuardia Airport (LGA),Vancouver Airport (YVR),Yes,671
2022-01-07,Los Angeles Airport (LAX),Toronto Pearson Airport (YYZ),Yes,708
2022-01-07,Los Angeles Airport (LAX),San Francisco Airport (SFO),Yes,462
2022-01-07,Los Angeles Airport (LAX),LaGuardia Airport (LGA),Yes,685
2022-01-07,Los Angeles Airport (LAX),Vancouver Airport (YVR),Yes,826
2022-01-07,Vancouver Airport (YVR),Toronto Pearson Airport (YYZ),Yes,540
2022-01-07,Vancouver Airport (YVR),San Francisco Airport (SFO),Yes,900
2022-01-07,Vancouver Airport (YVR),LaGuardia Airport (LGA),Yes,622
2022-01-07,Vancouver Airport (YVR),Los Angeles Airport (LAX),Yes,960
2022-01-08,Toronto Pearson Airport (YYZ),San Francisco Airport (SFO),Yes,938
2022-01-08,Toronto Pearson Airport (YYZ),LaGuardia Airport (LGA),Yes,477
2022-01-08,Toronto Pearson Airport (YYZ),Los Angeles Airport (LAX),Yes,891
2022-01-08,Toronto Pearson Airport (YYZ),Vancouver Airport (YVR),Yes,660
2022-01-08,San Francisco Airport (SFO),Toronto Pearson Airport (YYZ),Yes,714
2022-01-08,San Francisco Airport (SFO),LaGuardia Airport (LGA),Yes,589
2022-01-08,San Francisco Airport (SFO),Los Angeles Airport (LAX),Yes,303
2022-01-08,San Francisco Airport (SFO),Vancouver Airport (YVR),Yes,441
2022-01-08,LaGuardia Airport (LGA),Toronto Pearson Airport (YYZ),Yes,335
2022-01-08,LaGuardia Airport (LGA),San Francisco Airport (SFO),Yes,471
2022-01-08,LaGuardia Airport (LGA),Los Angeles Airport (LAX),Yes,563
2022-01-08,LaGuardia Airport (LGA),Vancouver Airport (YVR),Yes,602
2022-01-08,Los Angeles Airport (LAX),Toronto Pearson Airport (YYZ),Yes,667
2022-01-08,Los Angeles Airport (LAX),San Francisco Airport (SFO),Yes,393
2022-01-08,Los Angeles Airport (LAX),LaGuardia Airport (LGA),Yes,495
2022-01-08,Los Angeles Airport (LAX),Vancouver Airport (YVR),Yes,964
2022-01-08,Vancouver Airport (YVR),Toronto Pearson Airport (YYZ),Yes,590
2022-01-08,Vancouver Airport (YVR),San Francisco Airport (SFO),Yes,656
2022-01-08,Vancouver Airport (YVR),LaGuardia Airport (LGA),Yes,822
2022-01-08,Vancouver Airport (YVR),Los Angeles Airport (LAX),Yes,898
2022-01-09,Toronto Pearson Airport (YYZ),San Francisco Airport (SFO),Yes,598
2022-01-09,Toronto Pearson Airport (YYZ),LaGuardia Airport (LGA),Yes,450
2022-01-09,Toronto Pearson Airport (YYZ),Los Angeles Airport (LAX),Yes,791
2022-01-09,Toronto Pearson Airport (YYZ),Vancouver Airport (YVR),Yes,511
2022-01-09,San Francisco Airport (SFO),Toronto Pearson Airport (YYZ),Yes,690
2022-01-09,San Francisco Airport (SFO),LaGuardia Airport (LGA),Yes,678
2022-01-09,San Francisco Airport (SFO),Los Angeles Airport (LAX),Yes,552
2022-01-09,San Francisco Airport (SFO),Vancouver Airport (YVR),Yes,387
2022-01-09,LaGuardia Airport (LGA),Toronto Pearson Airport (YYZ),Yes,549
2022-01-09,LaGuardia Airport (LGA),San Francisco Airport (SFO),Yes,624
2022-01-09,LaGuardia Airport (LGA),Los Angeles Airport (LAX),Yes,658
2022-01-09,LaGuardia Airport (LGA),Vancouver Airport (YVR),Yes,486
2022-01-09,Los Angeles Airport (LAX),Toronto Pearson Airport (YYZ),Yes,732
2022-01-09,Los Angeles Airport (LAX),San Francisco Airport (SFO),Yes,572
2022-01-09,Los Angeles Airport (LAX),LaGuardia Airport (LGA),Yes,427
2022-01-09,Los Angeles Airport (LAX),Vancouver Airport (YVR),Yes,637
2022-01-09,Vancouver Airport (YVR),Toronto Pearson Airport (YYZ),Yes,993
2022-01-09,Vancouver Airport (YVR),San Francisco Airport (SFO),Yes,605
2022-01-09,Vancouver Airport (YVR),LaGuardia Airport (LGA),Yes,728
2022-01-09,Vancouver Airport (YVR),Los Angeles Airport (LAX),Yes,601
2022-01-10,Toronto Pearson Airport (YYZ),San Francisco Airport (SFO),Yes,978
2022-01-10,Toronto Pearson Airport (YYZ),LaGuardia Airport (LGA),Yes,430
2022-01-10,Toronto Pearson Airport (YYZ),Los Angeles Airport (LAX),Yes,926
2022-01-10,Toronto Pearson Airport (YYZ),Vancouver Airport (YVR),Yes,422
2022-01-10,San Francisco Airport (SFO),Toronto Pearson Airport (YYZ),Yes,509
2022-01-10,San Francisco Airport (SFO),LaGuardia Airport (LGA),Yes,445
2022-01-10,San Francisco Airport (SFO),Los Angeles Airport (LAX),Yes,380
2022-01-10,San Francisco Airport (SFO),Vancouver Airport (YVR),Yes,533
2022-01-10,LaGuardia Airport (LGA),Toronto Pearson Airport (YYZ),Yes,512
2022-01-10,LaGuardia Airport (LGA),San Francisco Airport (SFO),Yes,577
2022-01-10,LaGuardia Airport (LGA),Los Angeles Airport (LAX),Yes,500
2022-01-10,LaGuardia Airport (LGA),Vancouver Airport (YVR),Yes,563
2022-01-10,Los Angeles Airport (LAX),Toronto Pearson Airport (YYZ),Yes,945
2022-01-10,Los Angeles Airport (LAX),San Francisco Airport (SFO),Yes,303
2022-01-10,Los Angeles Airport (LAX),LaGuardia Airport (LGA),Yes,542
2022-01-10,Los Angeles Airport (LAX),Vancouver Airport (YVR),Yes,667
2022-01-10,Vancouver Airport (YVR),Toronto Pearson Airport (YYZ),Yes,968
2022-01-10,Vancouver Airport (YVR),San Francisco Airport (SFO),Yes,868
2022-01-10,Vancouver Airport (YVR),LaGuardia Airport (LGA),Yes,829
2022-01-10,Vancouver Airport (YVR),Los Angeles Airport (LAX),Yes,772
2022-01-11,Toronto Pearson Airport (YYZ),San Francisco Airport (SFO),Yes,935
2022-01-11,Toronto Pearson Airport (YYZ),LaGuardia Airport (LGA),Yes,348
2022-01-11,Toronto Pearson Airport (YYZ),Los Angeles Airport (LAX),Yes,816
2022-01-11,Toronto Pearson Airport (YYZ),Vancouver Airport (YVR),Yes,674
2022-01-11,San Francisco Airport (SFO),Toronto Pearson Airport (YYZ),Yes,644
2022-01-11,San Francisco Airport (SFO),LaGuardia Airport (LGA),Yes,682
2022-01-11,San Francisco Airport (SFO),Los Angeles Airport (LAX),Yes,580
2022-01-11,San Francisco Airport (SFO),Vancouver Airport (YVR),Yes,574
2022-01-11,LaGuardia Airport (LGA),Toronto Pearson Airport (YYZ),Yes,501
2022-01-11,LaGuardia Airport (LGA),San Francisco Airport (SFO),Yes,578
2022-01-11,LaGuardia Airport (LGA),Los Angeles Airport (LAX),Yes,505
2022-01-11,LaGuardia Airport (LGA),Vancouver Airport (YVR),Yes,459
2022-01-11,Los Angeles Airport (LAX),Toronto Pearson Airport (YYZ),Yes,862
2022-01-11,Los Angeles Airport (LAX),San Francisco Airport (SFO),Yes,557
2022-01-11,Los Angeles Airport (LAX),LaGuardia Airport (LGA),Yes,591
2022-01-11,Los Angeles Airport (LAX),Vancouver Airport (YVR),Yes,645
2022-01-11,Vancouver Airport (YVR),Toronto Pearson Airport (YYZ),Yes,916
2022-01-11,Vancouver Airport (YVR),San Francisco Airport (SFO),Yes,589
2022-01-11,Vancouver Airport (YVR),LaGuardia Airport (LGA),Yes,510
2022-01-11,Vancouver Airport (YVR),Los Angeles Airport (LAX),Yes,501
2022-01-12,Toronto Pearson Airport (YYZ),San Francisco Airport (SFO),Yes,619
2022-01-12,Toronto Pearson Airport (YYZ),LaGuardia Airport (LGA),Yes,543
2022-01-12,Toronto Pearson Airport (YYZ),Los Angeles Airport (LAX),Yes,949
2022-01-12,Toronto Pearson Airport (YYZ),Vancouver Airport (YVR),Yes,616
2022-01-12,San Francisco Airport (SFO),Toronto Pearson Airport (YYZ),Yes,803
2022-01-12,San Francisco Airport (SFO),LaGuardia Airport (LGA),Yes,484
2022-01-12,San Francisco Airport (SFO),Los Angeles Airport (LAX),Yes,406
2022-01-12,San Francisco Airport (SFO),Vancouver Airport (YVR),Yes,351
2022-01-12,LaGuardia Airport (LGA),Toronto Pearson Airport (YYZ),Yes,518
2022-01-12,LaGuardia Airport (LGA),San Francisco Airport (SFO),Yes,682
2022-01-12,LaGuardia Airport (LGA),Los Angeles Airport (LAX),Yes,556
2022-01-12,LaGuardia Airport (LGA),Vancouver Airport (YVR),Yes,660
2022-01-12,Los Angeles Airport (LAX),Toronto Pearson Airport (YYZ),Yes,843
2022-01-12,Los Angeles Airport (LAX),San Francisco Airport (SFO),Yes,533
2022-01-12,Los Angeles Airport (LAX),LaGuardia Airport (LGA),Yes,602
2022-01-12,Los Angeles Airport (LAX),Vancouver Airport (YVR),Yes,1000
2022-01-12,Vancouver Airport (YVR),Toronto Pearson Airport (YYZ),Yes,757
2022-01-12,Vancouver Airport (YVR),San Francisco Airport (SFO),Yes,840
2022-01-12,Vancouver Airport (YVR),LaGuardia Airport (LGA),Yes,920
2022-01-12,Vancouver Airport (YVR),Los Angeles Airport (LAX),Yes,624
2022-01-13,Toronto Pearson Airport (YYZ),San Francisco Airport (SFO),Yes,734
2022-01-13,Toronto Pearson Airport (YYZ),LaGuardia Airport (LGA),Yes,548
2022-01-13,Toronto Pearson Airport (YYZ),Los Angeles Airport (LAX),Yes,588
2022-01-13,Toronto Pearson Airport (YYZ),Vancouver Airport (YVR),Yes,577
2022-01-13,San Francisco Airport (SFO),Toronto Pearson Airport (YYZ),Yes,662
2022-01-13,San Francisco Airport (SFO),LaGuardia Airport (LGA),Yes,690
2022-01-13,San Francisco Airport (SFO),Los Angeles Airport (LAX),Yes,533
2022-01-13,San Francisco Airport (SFO),Vancouver Airport (YVR),Yes,563
2022-01-13,LaGuardia Airport (LGA),Toronto Pearson Airport (YYZ),Yes,530
2022-01-13,LaGuardia Airport (LGA),San Francisco Airport (SFO),Yes,683
2022-01-13,LaGuardia Airport (LGA),Los Angeles Airport (LAX),Yes,601
2022-01-13,LaGuardia Airport (LGA),Vancouver Airport (YVR),Yes,625
2022-01-13,Los Angeles Airport (LAX),Toronto Pearson Airport (YYZ),Yes,885
2022-01-13,Los Angeles Airport (LAX),San Francisco Airport (SFO),Yes,564
2022-01-13,Los Angeles Airport (LAX),LaGuardia Airport (LGA),Yes,603
2022-01-13,Los Angeles Airport (LAX),Vancouver Airport (YVR),Yes,559
2022-01-13,Vancouver Airport (YVR),Toronto Pearson Airport (YYZ),Yes,557
2022-01-13,Vancouver Airport (YVR),San Francisco Airport (SFO),Yes,595
2022-01-13,Vancouver Airport (YVR),LaGuardia Airport (LGA),Yes,742
2022-01-13,Vancouver Airport (YVR),Los Angeles Airport (LAX),Yes,659
2022-01-14,Toronto Pearson Airport (YYZ),San Francisco Airport (SFO),Yes,788
2022-01-14,Toronto Pearson Airport (YYZ),LaGuardia Airport (LGA),Yes,496
2022-01-14,Toronto Pearson Airport (YYZ),Los Angeles Airport (LAX),Yes,891
2022-01-14,Toronto Pearson Airport (YYZ),Vancouver Airport (YVR),Yes,636
2022-01-14,San Francisco Airport (SFO),Toronto Pearson Airport (YYZ),Yes,538
2022-01-14,San Francisco Airport (SFO),LaGuardia Airport (LGA),Yes,571
2022-01-14,San Francisco Airport (SFO),Los Angeles Airport (LAX),Yes,456
2022-01-14,San Francisco Airport (SFO),Vancouver Airport (YVR),Yes,316
2022-01-14,LaGuardia Airport (LGA),Toronto Pearson Airport (YYZ),Yes,342
2022-01-14,LaGuardia Airport (LGA),San Francisco Airport (SFO),Yes,478
2022-01-14,LaGuardia Airport (LGA),Los Angeles Airport (LAX),Yes,527
2022-01-14,LaGuardia Airport (LGA),Vancouver Airport (YVR),Yes,596
2022-01-14,Los Angeles Airport (LAX),Toronto Pearson Airport (YYZ),Yes,617
2022-01-14,Los Angeles Airport (LAX),San Francisco Airport (SFO),Yes,569
2022-01-14,Los Angeles Airport (LAX),LaGuardia Airport (LGA),Yes,606
2022-01-14,Los Angeles Airport (LAX),Vancouver Airport (YVR),Yes,725
2022-01-14,Vancouver Airport (YVR),Toronto Pearson Airport (YYZ),Yes,594
2022-01-14,Vancouver Airport (YVR),San Francisco Airport (SFO),Yes,997
2022-01-14,Vancouver Airport (YVR),LaGuardia Airport (LGA),Yes,663
2022-01-14,Vancouver Airport (YVR),Los Angeles Airport (LAX),Yes,988
2022-01-15,Toronto Pearson Airport (YYZ),San Francisco Airport (SFO),Yes,880
2022-01-15,Toronto Pearson Airport (YYZ),LaGuardia Airport (LGA),Yes,528
2022-01-15,Toronto Pearson Airport (YYZ),Los Angeles Airport (LAX),Yes,593
2022-01-15,Toronto Pearson Airport (YYZ),Vancouver Airport (YVR),Yes,433
2022-01-15,San Francisco Airport (SFO),Toronto Pearson Airport (YYZ),Yes,762
2022-01-15,San Francisco Airport (SFO),LaGuardia Airport (LGA),Yes,626
2022-01-15,San Francisco Airport (SFO),Los Angeles Airport (LAX),Yes,462
2022-01-15,San Francisco Airport (SFO),Vancouver Airport (YVR),Yes,514
2022-01-15,LaGuardia Airport (LGA),Toronto Pearson Airport (YYZ),Yes,511
2022-01-15,LaGuardia Airport (LGA),San Francisco Airport (SFO),Yes,512
2022-01-15,LaGuardia Airport (LGA),Los Angeles Airport (LAX),Yes,509
2022-01-15,LaGuardia Airport (LGA),Vancouver Airport (YVR),Yes,576
2022-01-15,Los Angeles Airport (LAX),Toronto Pearson Airport (YYZ),Yes,622
2022-01-15,Los Angeles Airport (LAX),San Francisco Airport (SFO),Yes,589
2022-01-15,Los Angeles Airport (LAX),LaGuardia Airport (LGA),Yes,684
2022-01-15,Los Angeles Airport (LAX),Vancouver Airport (YVR),Yes,743
2022-01-15,Vancouver Airport (YVR),Toronto Pearson Airport (YYZ),Yes,735
2022-01-15,Vancouver Airport (YVR),San Francisco Airport (SFO),Yes,687
2022-01-15,Vancouver Airport (YVR),LaGuardia Airport (LGA),Yes,542
2022-01-15,Vancouver Airport (YVR),Los Angeles Airport (LAX),Yes,882
2022-01-16,Toronto Pearson Airport (YYZ),San Francisco Airport (SFO),Yes,930
2022-01-16,Toronto Pearson Airport (YYZ),LaGuardia Airport (LGA),Yes,400
2022-01-16,Toronto Pearson Airport (YYZ),Los Angeles Airport (LAX),Yes,671
2022-01-16,Toronto Pearson Airport (YYZ),Vancouver Airport (YVR),Yes,554
2022-01-16,San Francisco Airport (SFO),Toronto Pearson Airport (YYZ),Yes,535
2022-01-16,San Francisco Airport (SFO),LaGuardia Airport (LGA),Yes,666
2022-01-16,San Francisco Airport (SFO),Los Angeles Airport (LAX),Yes,574
2022-01-16,San Francisco Airport (SFO),Vancouver Airport (YVR),Yes,365
2022-01-16,LaGuardia Airport (LGA),Toronto Pearson Airport (YYZ),Yes,351
2022-01-16,LaGuardia Airport (LGA),San Francisco Airport (SFO),Yes,665
2022-01-16,LaGuardia Airport (LGA),Los Angeles Airport (LAX),Yes,561
2022-01-16,LaGuardia Airport (LGA),Vancouver Airport (YVR),Yes,406
2022-01-16,Los Angeles Airport (LAX),Toronto Pearson Airport (YYZ),Yes,557
2022-01-16,Los Angeles Airport (LAX),San Francisco Airport (SFO),Yes,428
2022-01-16,Los Angeles Airport (LAX),LaGuardia Airport (LGA),Yes,544
2022-01-16,Los Angeles Airport (LAX),Vancouver Airport (YVR),Yes,566
2022-01-16,Vancouver Airport (YVR),Toronto Pearson Airport (YYZ),Yes,961
2022-01-16,Vancouver Airport (YVR),San Francisco Airport (SFO),Yes,963
2022-01-16,Vancouver Airport (YVR),LaGuardia Airport (LGA),Yes,993
2022-01-16,Vancouver Airport (YVR),Los Angeles Airport (LAX),Yes,955
2022-01-17,Toronto Pearson Airport (YYZ),San Francisco Airport (SFO),Yes,841
2022-01-17,Toronto Pearson Airport (YYZ),LaGuardia Airport (LGA),Yes,440
2022-01-17,Toronto Pearson Airport (YYZ),Los Angeles Airport (LAX),Yes,934
2022-01-17,Toronto Pearson Airport (YYZ),Vancouver Airport (YVR),Yes,610
2022-01-17,San Francisco Airport (SFO),Toronto Pearson Airport (YYZ),Yes,737
2022-01-17,San Francisco Airport (SFO),LaGuardia Airport (LGA),Yes,690
2022-01-17,San Francisco Airport (SFO),Los Angeles Airport (LAX),Yes,551
2022-01-17,San Francisco Airport (SFO),Vancouver Airport (YVR),Yes,493
2022-01-17,LaGuardia Airport (LGA),Toronto Pearson Airport (YYZ),Yes,442
2022-01-17,LaGuardia Airport (LGA),San Francisco Airport (SFO),Yes,612
2022-01-17,LaGuardia Airport (LGA),Los Angeles Airport (LAX),Yes,659
2022-01-17,LaGuardia Airport (LGA),Vancouver Airport (YVR),Yes,424
2022-01-17,Los Angeles Airport (LAX),Toronto Pearson Airport (YYZ),Yes,558
2022-01-17,Los Angeles Airport (LAX),San Francisco Airport (SFO),Yes,506
2022-01-17,Los Angeles Airport (LAX),LaGuardia Airport (LGA),Yes,555
2022-01-17,Los Angeles Airport (LAX),Vancouver Airport (YVR),Yes,822
